
time,gFx,gFy,gFz,I,
39.27,0.07,0.09,0.43,23.00,
39.29,0.23,0.07,0.43,23.00,
39.36,0.09,0.12,0.52,23.00,
39.42,0.47,0.42,1.13,23.00,
39.49,-0.10,0.37,2.41,23.00,
39.56,-0.03,0.78,1.95,23.00,
39.62,-0.03,0.78,1.95,21.00,
39.62,0.20,0.62,0.68,21.00,
39.69,0.17,0.27,0.47,21.00,
39.75,-0.04,0.13,0.55,21.00,
39.82,0.04,0.22,-0.38,21.00,
39.89,-0.32,-0.33,2.89,21.00,
39.95,0.19,0.19,1.42,21.00,
39.97,0.19,0.19,1.42,53.00,
40.02,0.23,0.44,0.81,53.00,
40.08,-0.24,0.21,0.80,53.00,
40.15,-0.02,0.20,0.87,53.00,
40.22,0.30,0.23,0.81,53.00,
40.28,-0.12,0.13,1.60,53.00,
40.32,-0.12,0.13,1.60,27.00,
40.35,-0.34,0.25,1.18,27.00,
40.41,-0.38,0.01,1.21,27.00,
40.48,-0.26,0.01,0.85,27.00,
40.55,-0.11,0.06,0.89,27.00,
40.61,0.06,0.12,0.81,27.00,
40.67,0.06,0.12,0.81,26.00,
40.68,0.16,0.19,0.76,26.00,
40.74,0.06,0.25,0.82,26.00,
40.81,-0.12,0.20,1.22,26.00,
40.88,-0.05,0.32,1.30,26.00,
40.94,-0.24,0.21,1.40,26.00,
41.01,-0.08,0.12,1.03,26.00,
41.02,-0.08,0.12,1.03,27.00,
41.08,-0.00,0.24,0.32,27.00,
41.14,-0.06,0.27,0.50,27.00,
41.21,-0.19,0.28,0.88,27.00,
41.27,-0.18,0.33,1.13,27.00,
41.34,-0.21,0.23,1.38,27.00,
41.37,-0.21,0.23,1.38,27.00,
41.40,-0.47,0.21,1.23,27.00,
41.47,-0.21,0.11,1.71,27.00,
41.54,0.04,0.12,1.03,27.00,
41.60,0.18,0.20,0.48,27.00,
41.67,0.17,0.20,0.47,27.00,
41.72,0.17,0.20,0.47,32.00,
41.73,0.07,0.29,0.43,32.00,
41.80,0.06,0.31,0.73,32.00,
41.87,0.03,0.26,1.20,32.00,
41.93,-0.16,0.25,1.51,32.00,
42.00,-0.04,0.28,1.41,32.00,
42.06,0.03,0.24,1.03,32.00,
42.07,0.03,0.24,1.03,34.00,
42.13,0.06,0.32,0.48,34.00,
42.20,-0.06,0.30,0.66,34.00,
42.26,-0.04,0.36,0.91,34.00,
42.33,0.06,0.44,1.03,34.00,
42.40,-0.14,0.31,1.37,34.00,
42.42,-0.14,0.31,1.37,40.00,
42.46,-0.24,0.31,1.14,40.00,
42.53,-0.10,0.25,1.34,40.00,
42.59,-0.08,0.22,1.05,40.00,
42.66,0.04,0.23,0.62,40.00,
42.72,0.21,0.28,0.39,40.00,
42.77,0.21,0.28,0.39,47.00,
42.79,0.15,0.24,0.68,47.00,
42.86,0.08,0.33,0.76,47.00,
42.92,0.10,0.44,1.10,47.00,
42.99,0.14,0.49,1.45,47.00,
43.05,-0.07,0.45,1.29,47.00,
43.12,-0.13,0.30,0.91,47.00,
43.12,-0.13,0.30,0.91,45.00,
43.19,0.01,0.18,0.85,45.00,
43.25,-0.06,0.23,0.71,45.00,
43.32,0.11,0.33,0.60,45.00,
43.38,0.09,0.41,0.73,45.00,
43.45,-0.01,0.35,1.12,45.00,
43.47,-0.01,0.35,1.12,134.00,
43.52,-0.03,0.29,1.25,134.00,
43.58,-0.13,0.22,1.00,134.00,
43.65,-0.01,0.01,1.34,134.00,
43.71,0.00,0.17,0.77,134.00,
43.78,0.02,0.18,0.74,134.00,
